Mouse Genes,Human Ortholog Symbol
Sprr2a2,not found
Cyp3a11,ENSG00000106258
Apol11b,ENSG00000128284
Slc22a19,ENSG00000149742
Ambp,ENSG00000106927
Afp,ENSG00000081051
Fabp1,ENSG00000163586
Zmat4,ENSG00000165061
Aadac,ENSG00000114771
Kng1,ENSG00000113889
Fam19a4,ENSG00000163377
Akr1c6,not found
Cyp4a14,not found
Lsp1,ENSG00000130592
Slitrk6,ENSG00000184564
Gypa,ENSG00000250361
Oxgr1,ENSG00000165621
Ahsg,ENSG00000145192
Pzp,not found
Nusap1,ENSG00000137804
Bub1,ENSG00000169679
Acmsd,ENSG00000153086
Cenpf,ENSG00000117724
Alb,ENSG00000163631
2810417H13Rik,ENSG00000166803
Vsnl1,ENSG00000163032
Dscc1,ENSG00000136982
Nusap1,ENSG00000137804
Bub1,ENSG00000169679
Hist1h1a,ENSG00000124610
Pbk,ENSG00000168078
Spc25,ENSG00000152253
Ugt2b1,not found
Lrr1,ENSG00000165501
Angptl7,ENSG00000171819
Olfr558,ENSG00000180785
Mest,ENSG00000106484
Hist1h3c,not found
Ccne2,ENSG00000175305
Veph1,ENSG00000197415
I830012O16Rik,ENSG00000119917
Trib3,ENSG00000101255
Cxcl17,ENSG00000189377
Gdf15,ENSG00000130513
Ncan,ENSG00000130287
1700112E06Rik,ENSG00000148655
Fbxw14,ENSG00000164049
Slc10a6,ENSG00000145283
Serpina3i,ENSG00000196136
Gm12429,ENSG00000205108
Smim18,ENSG00000253457
Cbln2,ENSG00000141668
Reg3g,ENSG00000172023
2900011O08Rik,ENSG00000166780
Nhlh1,ENSG00000171786
Barhl2,ENSG00000143032
Cdkn1a,ENSG00000124762
Neurod1,ENSG00000162992
Saa2,not found
Fezf1,ENSG00000128610
Cxcl2,ENSG00000163734
Ano3,ENSG00000134343
Cxcl10,ENSG00000169245
Saa3,not found
Neurod6,ENSG00000164600
Zbtb16,ENSG00000109906
Npbwr1,ENSG00000288611
Cryge,not found
