Gene symbol	Accession number	RNA length	Chromosome	Log2 (O2-treated/room air)
Sprr2a2	ENSMUST00000090871	722	chr3	−41·873
Cyp3a11	NM_007818	2053	chr5	−38·010
Apol11b	NM_001143686	2057	chr15	−32·571
Slc22a19	NM_144785	1984	chr19	−22·205
Ambp	NM_007443	1233	chr4	−20·950
Afp	NM_007423	2086	chr5	−14·558
Fabp1	NM_017399	492	chr6	−14·110
Zmat4	NM_177086	4206	chr8	−13·580
Aadac	NM_023383	1294	chr3	−13·190
Kng1	NM_023125	1950	chr16	−13·091
Fam19a4	NM_177233	2182	chr6	−11·652
Akr1c6	NM_030611	1359	chr13	−11·379
Cyp4a14	NM_007822	2503	chr4	−10·842
Lsp1	NM_001271508	2079	chr7	−10·759
Slitrk6	NM_175499	4243	chr14	−10·433
Gypa	NM_010369	1827	chr8	−10·209
Oxgr1	NM_001001490	3732	chr14	−9·668
Ahsg	ENSMUST00000023583	1474	chr16	−8·784
Pzp	NM_007376	4681	chr6	−8·743
Nusap1	NM_001042652	2861	chr2	−8·708
Bub1	NM_001113179	4337	chr2	−8·617
Acmsd	NM_001033041	2303	chr1	−8·557
Cenpf	NM_001081363	11130	chr1	−8·306
Alb	NM_009654	2043	chr5	−8·286
2810417H13Rik	NM_026515	2387	chr9	−8·251
Vsnl1	NM_012038	1951	chr12	−8·188
Dscc1	NM_183089	1327	chr15	−8·165
Nusap1	NM_133851	2960	chr2	−8·138
Bub1	NM_009772	4334	chr2	−8·114
Hist1h1a	NM_030609	747	chr13	−8·109
Pbk	NM_023209	1663	chr14	−7·981
Spc25	NM_025565	1212	chr2	−7·557
Ugt2b1	NM_152811	2560	chr5	−7·517
Lrr1	NM_001081406	1501	chr12	−7·484
Angptl7	NM_001039554	2062	chr4	−7·306
Olfr558	NM_147093	2923	chr7	−7·177
Mest	NM_001252292	2680	chr6	−7·098
Hist1h3c	NM_175653	480	chr13	−7·043
Ccne2	NM_009830	3023	chr4	−7·012
Veph1	NM_145820	6450	chr3	−7·004
I830012O16Rik	NM_001005858	2013	chr19	7·021
Trib3	NM_175093	2051	chr2	7·091
Cxcl17	NM_153576	760	chr7	7·162
Gdf15	NM_011819	1084	chr8	7·336
Ncan	NM_007789	7184	chr8	7·637
1700112E06Rik	NM_028275	911	chr14	7·739
Fbxw14	NM_015793	1497	chr9	8·132
Slc10a6	NM_029415	2124	chr5	8·212
Serpina3i	NM_001199940	2193	chr12	8·480
Gm12429	NM_001277167	4146	chr4	8·557
Smim18	NM_001206849	602	chr8	8·573
Cbln2	NM_172633	2201	chr18	8·848
Reg3g	NM_011260	774	chr6	9·237
2900011O08Rik	NM_144518	2355	chr16	9·512
Nhlh1	NM_010916	2506	chr1	9·964
Barhl2	NM_001005477	2329	chr5	10·144
Cdkn1a	NM_001111099	1936	chr17	10·540
Neurod1	NM_010894	2494	chr2	10·893
Saa2	NM_011314	610	chr7	12·185
Fezf1	NM_028462	2308	chr6	13·731
Cxcl2	NM_009140	1083	chr5	15·110
Ano3	NM_001128103	6026	chr2	16·999
Cxcl10	NM_021274	1120	chr5	17·446
Saa3	NM_011315	531	chr7	20·065
Neurod6	NM_009717	2154	chr6	21·213
Zbtb16	NM_001033324	5114	chr9	26·843
Npbwr1	NM_010342	3692	chr1	29·215
Cryge	NM_007777	662	chr1	43·650
