Gene_symbol;NAME;Foldchange NOXvsHYX;Pvalue NOXvsHYX;FDR NOXvsHYX
0610007P14Rik;RIKEN cDNA 0610007P14 gene;1,075513742;0,348659891;0,491345235
0610009B22Rik;RIKEN cDNA 0610009B22 gene;1,019275547;0,799161812;0,867764469
0610009L18Rik;RIKEN cDNA 0610009L18 gene;-1,115179076;0,578615051;0,703514969
0610009O20Rik;RIKEN cDNA 0610009O20 gene;-1,146890081;0,026064233;0,064853398
0610010B08Rik;RIKEN cDNA 0610010B08 gene;-1,125887015;0,350519503;0,493397224
0610010F05Rik;RIKEN cDNA 0610010F05 gene;1,06293136;0,334565553;0,476517216
0610010K14Rik;RIKEN cDNA 0610010K14 gene;-1,263210415;0,016130491;0,043813901
0610011F06Rik;RIKEN cDNA 0610011F06 gene;1,22621119;0,074473127;0,150164106
0610012G03Rik;RIKEN cDNA 0610012G03 gene;1,007877753;0,928495978;0,955387201
0610030E20Rik;RIKEN cDNA 0610030E20 gene;1,012505995;0,823544134;0,884487124
0610031J06Rik;NA;1,043921956;0,427237177;0,567265505
0610037L13Rik;RIKEN cDNA 0610037L13 gene;-1,113697276;0,107850399;0,201770867
0610040J01Rik;RIKEN cDNA 0610040J01 gene;1,872677108;3,96E-08;4,91E-07
1010001N08Rik;RIKEN cDNA 1010001N08 gene;1,350241773;0,022187975;0,056896917
1110001J03Rik;RIKEN cDNA 1110001J03 gene;-1,035971291;0,80472158;0,87186589
1110002L01Rik;RIKEN cDNA 1110002L01 gene;1,120560541;0,424578003;0,565166745
1110004E09Rik;RIKEN cDNA 1110004E09 gene;1,446066123;0,00117539;0,004774778
1110004F10Rik;RIKEN cDNA 1110004F10 gene;1,012267702;0,825878873;0,886151422
1110007C09Rik;RIKEN cDNA 1110007C09 gene;1,079495036;0,432434885;0,572405689
1110008F13Rik;RIKEN cDNA 1110008F13 gene;1,249008496;0,000328165;0,001573071
1110008L16Rik;RIKEN cDNA 1110008L16 gene;1,14434726;0,095231172;0,182848336
1110008P14Rik;RIKEN cDNA 1110008P14 gene;1,371996846;0,000463954;0,002130703
1110012L19Rik;RIKEN cDNA 1110012L19 gene;-1,018883319;0,818319167;0,880370542
1110017D15Rik;RIKEN cDNA 1110017D15 gene;1,782681561;0,008760197;0,026323647
1110019D14Rik;RIKEN cDNA 1110019D14 gene;-1,031062065;0,856962331;0,90657594
1110032A03Rik;RIKEN cDNA 1110032A03 gene;1,105888396;0,374187309;0,517307201
1110034G24Rik;RIKEN cDNA 1110034G24 gene;-1,440391318;0,001799735;0,006912961
1110037F02Rik;RIKEN cDNA 1110037F02 gene;-1,049462731;0,517837602;0,650700619
1110038B12Rik;RIKEN cDNA 1110038B12 gene;1,630688595;6,24E-07;6,01E-06
1110038F14Rik;RIKEN cDNA 1110038F14 gene;-1,327858032;0,001137104;0,004641093
1110046J04Rik;RIKEN cDNA 1110046J04 gene;1,457671569;0,012562001;0,035604065
1110051M20Rik;RIKEN cDNA 1110051M20 gene;-1,001651275;0,981086396;0,989244138
1110054M08Rik;NA;-1,216408266;0,192243477;0,31454451
1110057K04Rik;NA;1,106329078;0,092725037;0,179067449
1110058L19Rik;NA;1,176047737;0,118518601;0,217242153
1110059E24Rik;RIKEN cDNA 1110059E24 gene;-1,151548635;0,019470862;0,05098072
1110059G10Rik;RIKEN cDNA 1110059G10 gene;-1,157710894;0,048310205;0,106997078
