Rat Gene,Human Ortholog Gene Symbol,Type,Identity (%),Positivity (%)
Fosb,ENSG00000125740,ortholog_one2one,95.2663,97.6331
Tmem200a,ENSG00000164484,ortholog_one2one,89.8167,95.3157
Fam168a,ENSG00000054965,ortholog_one2one,99.5745,100
Echdc1,ENSG00000093144,ortholog_one2one,81.0631,90.0332
Rgs17,ENSG00000091844,ortholog_one2one,93.8095,98.0952
Sgk1,ENSG00000118515,ortholog_one2one,94.2966,97.1483
Fbxo46,ENSG00000177051,ortholog_one2one,90.8789,94.1957
Pgap2,ENSG00000148985,ortholog_one2many,54.6032,59.3651
Cers3,ENSG00000154227,ortholog_one2one,77.5457,88.2507
Sh3gl3,ENSG00000140600,ortholog_one2one,86.7435,94.8127
Trim34,ENSG00000258659,ortholog_one2one,65.9836,78.6885
Cdc42ep2,ENSG00000149798,ortholog_one2one,87.1429,92.381
Sgms1,ENSG00000198964,ortholog_one2one,97.3366,98.3051
Dagla,ENSG00000134780,ortholog_one2one,97.6967,98.4645
St5,ENSG00000166444,ortholog_one2one,91.9085,94.2832
Slc5a11,ENSG00000158865,ortholog_one2one,87.1111,93.3333
Rce1,ENSG00000173653,ortholog_one2one,89.0578,90.2736
Gsto2,ENSG00000065621,ortholog_one2one,85.1852,91.7695
Cdc42se2,ENSG00000158985,ortholog_one2many,100,100
Dbil5,error - retries exceeded,,,
Fbxw11,ENSG00000072803,ortholog_one2one,99.2895,99.8224
Ifi47,not found,,,
Smndc1,ENSG00000119953,ortholog_one2one,99.1597,99.1597
Tenm2,ENSG00000145934,ortholog_one2one,98.4859,99.4953
Pc,ENSG00000173599,ortholog_one2one,96.3497,98.472
Dusp14,ENSG00000276023,ortholog_one2many,94.9495,98.4848
Tnfaip1,ENSG00000109079,ortholog_one2one,96.2025,99.6835
Pip5k1a,ENSG00000143398,ortholog_one2one,88.4342,92.5267
Ttc25,ENSG00000204815,ortholog_one2one,75.5952,81.1012
Vtn,ENSG00000109072,ortholog_one2one,73.431,81.59
Grb2,ENSG00000177885,ortholog_one2one,98.6175,98.6175
Tmem30c,not found,,,
Col8a1,ENSG00000144810,ortholog_one2one,93.9516,97.043
Ifnar1,ENSG00000142166,ortholog_one2one,49.9102,65.5296
Zbtb20,ENSG00000181722,ortholog_one2one,97.7058,98.1107
Il1rap,ENSG00000196083,ortholog_one2one,76.1404,87.5439
Bdh1,ENSG00000161267,ortholog_one2one,86.5889,90.6706
Gpr146,ENSG00000164849,ortholog_one2one,74.4745,84.0841
Helz,ENSG00000198265,ortholog_one2one,91.0402,94.8507
Tpst2,ENSG00000128294,ortholog_one2one,93.8992,96.5517
Rnf152,ENSG00000176641,ortholog_one2one,97.5369,98.5222
Tfcp2l1,ENSG00000115112,ortholog_one2one,93.5282,96.2422
Yeats2,ENSG00000163872,ortholog_one2one,83.8959,88.8186
Mnda,ENSG00000163564,ortholog_one2many,36.9919,52.439
Elavl1,ENSG00000066044,ortholog_one2one,98.4663,99.6933
Fam163a,ENSG00000143340,ortholog_one2one,88.6228,89.8204
Rph3a,ENSG00000089169,ortholog_one2one,87.7522,90.2017
Uchl5,ENSG00000116750,ortholog_one2one,90.5488,92.3781
Uap1,ENSG00000117143,ortholog_one2many,93.295,96.5517
R3hdm1,ENSG00000048991,ortholog_one2one,90.5644,94.3563
Peli1,ENSG00000197329,ortholog_one2many,90.4306,91.6268
Abhd6,ENSG00000163686,ortholog_one2one,93.7685,97.3294
Tmem175,ENSG00000127419,ortholog_one2one,81.1508,87.3016
Esrrg,ENSG00000196482,ortholog_one2one,100,100
Spert,ENSG00000174015,ortholog_one2one,79.0179,87.9464
Fam35a,ENSG00000122376,ortholog_one2one,64.2699,76.6593
Lyar,ENSG00000145220,ortholog_one2one,76.5172,87.0712
Anxa11,ENSG00000122359,ortholog_one2one,93.2673,95.6436
Ncoa4,ENSG00000266412,ortholog_one2many,78.1759,85.0163
Pnma2,ENSG00000240694,ortholog_one2one,79.3956,89.2857
Zdhhc2,ENSG00000104219,ortholog_one2one,95.3678,97.5477
Tspan14,ENSG00000108219,ortholog_one2one,97.037,98.5185
Fancc,ENSG00000158169,ortholog_one2one,66.8459,78.6738
Gsr,ENSG00000104687,ortholog_one2one,81.2261,87.1647
Foxc1,ENSG00000054598,ortholog_one2one,92.7667,94.575
Atxn1,ENSG00000124788,ortholog_one2one,87.2393,89.5705
Ctxn3,ENSG00000205279,ortholog_one2one,91.358,93.8272
Zmat4,ENSG00000165061,ortholog_one2one,94.3231,97.3799
Lox,ENSG00000113083,ortholog_one2one,85.1319,88.9688
Cdh2,ENSG00000170558,ortholog_one2one,96.5784,98.234
RGD1564428,ENSG00000164185,ortholog_one2one,64.011,72.2527
Cmtm2a,ENSG00000140932,ortholog_one2many,29.8387,43.9516
Smad1,ENSG00000170365,ortholog_one2one,98.7097,99.1398
Chst4,ENSG00000140835,ortholog_one2one,72.0207,83.9378
Rnf180,ENSG00000164197,ortholog_one2one,82.2635,88.5135
Txnl4b,ENSG00000140830,ortholog_one2one,97.9866,98.6577
Slc14a2,ENSG00000132874,ortholog_one2one,81.8478,89.0217
Ripk1,ENSG00000127080,ortholog_one2one,80.0407,82.6884
Def8,ENSG00000140995,ortholog_one2one,92.9047,96.0089
Nutf2,ENSG00000102898,ortholog_one2many,100,100
