gene,Nichols_24571919,Chen28689251,Bao_27137150,Bhaskaran_22911455,Chao27770432,Denervaud_26353077_down_ranked,Denervaud_26353077_up_ranked,Natarajan_28851267_down,Natarajan_28851267_up,Revhaug_31454811_down_ranked,Revhaug_31454811_up_ranked,Shrestha_33446917_down_,Shrestha_33446917_up,Al_mudares_37368978_female,Al_mudares_37368978_male,Bhattacharya_25150062,Cheng_31961470,Coarfa_28818871_female_down_day21_ranked,Coarfa_28818871_female_down_day7_ranked,Coarfa_28818871_female_up_day21_ranked,Coarfa_28818871_female_up_day7_ranked,Coarfa_28818871_male_down_day21,Coarfa_28818871_male_down_day7,Coarfa_28818871_male_up_day21,Coarfa_28818871_male_up_day7,Dong_36157523,Dravet_gounot_29287116_p21,Nitkin_32753701_24hr_unranked,Nitkin_32753701_6hr_unranked,Rao_37310763_ranked,x_dravet_gounot_29287116_p10,Hurskainen_33692365_endothelial,Hurskainen_33692365_epithelial,Hurskainen_33692365_stroma,Scaffa_34417156_ranked,maic_score,contributors
RAC2,0,1.472666833,0,0,0,0,1.662222339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.502584405,0,1.343256726,0,0,0,0,1.383919685,6.021393263,"SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Nitkin_32753701_24hr_unranked, METHYLATION: Chen28689251"
CXCR2,0,1.472666833,0,0,0,0,1.662221189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.502584405,0,1.483365698,0,1.321618045,1.321162506,1.322753442,0,5.960225869,"SCRNASEQ: Hurskainen_33692365_stroma, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Nitkin_32753701_24hr_unranked, METHYLATION: Chen28689251"
IL1R2,0,1.472666833,0,0,0,0,1.662221539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.409341392,0,1.32296966,1.32259586,1.324413255,0,5.868643019,"SCRNASEQ: Hurskainen_33692365_stroma, MICROARRAY: Denervaud_26353077_up_ranked, METHYLATION: Chen28689251, RNASEQ: Rao_37310763_ranked"
BAX,0,0,0,0,1.451416772,0,0,0,0,0,0,0,0,0,0,2.228826805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.375610218,5.055853795,"SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Bhattacharya_25150062, MICROARRAY: Chao27770432"
FMO3,0,0,0,0,0,0,0,0,2.200345253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.346185203,0,0,0,1.318006375,0,4.86453683,"MICROARRAY: Natarajan_28851267_up, SCRNASEQ: Hurskainen_33692365_stroma, RNASEQ: Rao_37310763_ranked"
LCN2,0,0,0,1.711323694,0,0,1.662222399,0,0,0,1.537732521,0,0,0,1.424293393,0,0,0,0,0,0,0,0,0,0,1.489509399,0,1.502584405,0,0,0,1.313289427,1.312494126,1.31252899,1.386620731,4.60052883,"SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Nitkin_32753701_24hr_unranked, MICROARRAY: Bhaskaran_22911455"
CD2,0,1.472666833,0,0,0,0,1.662222169,0,0,0,0,0,0,0,0,1.464684678,0,0,0,0,0,0,0,0,0,0,0,0,0,1.454509752,0,0,0,0,0,4.59957368,"RNASEQ: Bhattacharya_25150062, MICROARRAY: Denervaud_26353077_up_ranked, METHYLATION: Chen28689251"
LGALS3,0,0,0,1.711323664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.502584405,0,0,0,0,0,0,1.383225667,4.597133735,"SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Nitkin_32753701_24hr_unranked, MICROARRAY: Bhaskaran_22911455"
CCN2,0,0,0,1.711323624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.502584405,0,0,0,0,0,0,1.375160043,4.589068072,"SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Nitkin_32753701_24hr_unranked, MICROARRAY: Bhaskaran_22911455"
IGF1,0,0,0,1.711323344,0,0,0,0,0,0,0,0,0,0,1.424280986,0,0,0,0,0,0,0,0,0,0,0,0,1.502584405,0,0,0,0,0,0,1.368482457,4.582390206,"SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Nitkin_32753701_24hr_unranked, MICROARRAY: Bhaskaran_22911455"
THSD7B,0,0,0,0,0,1.786278399,0,0,0,0,0,0,0,0,0,1.464683248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.319533511,1.318958846,1.320208394,0,4.571170041,"SCRNASEQ: Hurskainen_33692365_stroma, RNASEQ: Bhattacharya_25150062, MICROARRAY: Denervaud_26353077_down_ranked"
Ifi47,0,1.472666833,0,0,0,0,1.662222059,0,0,0,0,0,0,0,1.42425332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.559142212,"MICROARRAY: Denervaud_26353077_up_ranked, METHYLATION: Chen28689251, RNASEQ: Al_mudares_37368978_male"
HPGD,0,0,0,1.711323684,0,0,0,0,0,0,0,0,0,0,0,1.464685568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.381875144,4.557884395,"SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Bhattacharya_25150062, MICROARRAY: Bhaskaran_22911455"
TF,0,0,0,0,0,0,1.662221619,0,0,0,0,0,0,0,0,1.464683138,0,0,0,0,0,0,0,0,0,0,0,1.502584405,0,0,0,0,0,0,1.387539839,4.552345864,"SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Nitkin_32753701_24hr_unranked, MICROARRAY: Denervaud_26353077_up_ranked"
CYP2E1,0,0,0,0,0,1.714236941,0,0,0,0,0,0,0,0,0,0,0,0,1.46649982,0,0,0,0,0,0,0,0,0,0,1.373958169,0,0,0,0,1.3706583,4.551395061,"SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Coarfa_28818871_female_down_day7_ranked, MICROARRAY: Denervaud_26353077_down_ranked"
SELL,0,0,0,0,0,0,1.662221719,0,0,0,0,0,0,0,1.424248233,0,0,0,0,0,0,0,0,0,0,0,0,1.502584405,0,0,0,1.317715492,1.317037956,1.317917851,1.385213936,4.550020061,"SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Nitkin_32753701_24hr_unranked"
NOX4,0,0,0,0,0,1.730861893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42620451,0,0,0,0,1.379680544,4.536746946,"SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Denervaud_26353077_down_ranked, RNASEQ: Rao_37310763_ranked"
C3,0,0,0,0,0,0,1.662222449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.489509399,0,0,0,0,0,0,0,0,1.380374562,4.53210641,"SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Dong_36157523, MICROARRAY: Denervaud_26353077_up_ranked"
CSF3R,0,1.472666833,0,0,0,0,1.662221429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.395169663,0,0,0,0,0,4.530057925,"MICROARRAY: Denervaud_26353077_up_ranked, METHYLATION: Chen28689251, RNASEQ: Rao_37310763_ranked"
TMEM176B,0,0,0,1.711323374,0,0,0,0,0,0,0,0,0,0,1.424251707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.389397052,4.524972133,"SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Bhaskaran_22911455, RNASEQ: Al_mudares_37368978_male"
FABP5,0,0,0,1.711323564,0,0,0,0,0,0,0,0,1.68535747,0,1.424250094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.386601974,4.522175632,"SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Bhaskaran_22911455, RNASEQ: Al_mudares_37368978_male"
MMP14,0,0,0,0,0,0,0,0,0,0,0,0,1.68535735,0,1.424286693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.390583293,4.500227336,"SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Shrestha_33446917_up, RNASEQ: Al_mudares_37368978_male"
MEST,0,0,1.472869303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.344657824,0,0,0,0,1.673238055,4.490765183,"MICROARRAY: Bao_27137150, SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Rao_37310763_ranked"
CHI3L1,0,0,0,0,0,0,1.662222029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.502584405,0,0,0,1.319067108,1.318442058,1.319632992,0,4.484439426,"SCRNASEQ: Hurskainen_33692365_stroma, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Nitkin_32753701_24hr_unranked"
PTPRC,0,0,0,0,0,0,1.662221919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.489509399,0,0,0,0,0,1.318724445,1.318071531,1.319223571,0,4.470954889,"SCRNASEQ: Hurskainen_33692365_stroma, RNASEQ: Dong_36157523, MICROARRAY: Denervaud_26353077_up_ranked"
SLPI,0,0,0,0,0,0,1.662221639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.502584405,0,1.34379125,0,1.305750838,1.304703309,0,0,4.470556882,"SCRNASEQ: Hurskainen_33692365_endothelial, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Nitkin_32753701_24hr_unranked"
MMP9,0,0,0,0,0,0,1.662221419,0,0,0,0,0,0,0,1.424246248,0,0,0,0,0,0,0,0,0,0,0,0,1.502584405,0,1.443787016,0,1.305531914,1.304488793,0,0,4.470337738,"SCRNASEQ: Hurskainen_33692365_endothelial, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Nitkin_32753701_24hr_unranked"
ACTG2,0,0,0,1.711323534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.388230575,0,0,0,0,1.370133097,4.469687205,"SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Bhaskaran_22911455, RNASEQ: Rao_37310763_ranked"
Clec4a3,0,0,0,0,0,0,1.662221449,0,0,0,0,0,0,0,1.424247489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.382437861,4.468906799,"SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Al_mudares_37368978_male"
PLEK,0,0,0,0,0,0,1.662221859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41588496,0,0,0,0,1.37559146,4.453698279,"SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Rao_37310763_ranked"
DES,0,0,0,1.711323414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.366123771,0,1.321246826,1.320782228,1.322310825,1.370114339,4.447561524,"SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Bhaskaran_22911455, RNASEQ: Rao_37310763_ranked"
ATP1A2,0,0,0,0,0,1.664362085,0,0,0,0,0,0,0,0,0,1.464683458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.316868353,1.316179894,1.316888767,0,4.44593431,"SCRNASEQ: Hurskainen_33692365_stroma, RNASEQ: Bhattacharya_25150062, MICROARRAY: Denervaud_26353077_down_ranked"
EMP1,0,0,0,0,0,0,0,0,0,0,0,0,1.68535745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36362199,0,0,0,0,1.388534,4.43751344,"SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Shrestha_33446917_up, RNASEQ: Rao_37310763_ranked"
BASP1,0,0,0,1.711323524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.345321484,0,0,0,0,1.375422645,4.432067653,"SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Bhaskaran_22911455, RNASEQ: Rao_37310763_ranked"
PGLYRP1,0,0,0,0,0,0,1.662221459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.377842731,0,0,0,0,1.381893901,4.42195809,"SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Rao_37310763_ranked"
MS4A1,0,0,0,0,0,0,1.662221439,0,0,1.546586461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.359961759,1.367872567,0,0,0,0,1.38354454,4.413638546,"MICROARRAY: Denervaud_26353077_up_ranked, SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Rao_37310763_ranked"
PRSS35,0,0,0,0,0,0,0,1.572615841,0,0,0,0,0,0,0,1.464685218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.370995931,4.40829699,"MICROARRAY: Natarajan_28851267_down, SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Bhattacharya_25150062"
FCRLA,0,0,0,0,0,0,1.662221989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.357533562,0,1.317287163,1.316608925,1.317397777,1.386039256,4.405794807,"SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Rao_37310763_ranked"
PLAC8,0,0,0,0,0,0,1.662222369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.359961759,0,0,0,0,0,1.383525783,4.405709911,"SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Nitkin_32753701_6hr_unranked, MICROARRAY: Denervaud_26353077_up_ranked"
BANK1,0,0,0,0,0,0,1.662221509,0,0,1.546481446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.353872841,0,0,0,0,1.386489431,4.40258378,"MICROARRAY: Denervaud_26353077_up_ranked, SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Rao_37310763_ranked"
FMO2,0,0,0,0,0,0,1.662221359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.359961759,0,0,1.31779164,1.317115962,1.318028506,1.380243262,4.40242638,"SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Nitkin_32753701_6hr_unranked, MICROARRAY: Denervaud_26353077_up_ranked"
CD53,0,0,0,0,0,0,1.662222099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.344706791,0,0,0,0,1.382456619,4.389385509,"SCRNASEQ: Scaffa_34417156_ranked, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Rao_37310763_ranked"
IL18RAP,0,0,0,0,0,0,1.662222489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.384317781,0,1.322922068,1.322547107,1.324357928,0,4.370898198,"SCRNASEQ: Hurskainen_33692365_stroma, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Rao_37310763_ranked"
MMP2,0,0,0,0,0,0,0,0,0,0,1.545450436,0,0,1.448291906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.376735653,4.370477995,"SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Al_mudares_37368978_female, MICROARRAY: Revhaug_31454811_up_ranked"
SYK,0,1.472666833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.502584405,0,0,0,0,0,0,1.38416353,4.359414768,"SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Nitkin_32753701_24hr_unranked, METHYLATION: Chen28689251"
PLA2G7,0,1.472666833,0,0,0,0,0,0,0,0,0,0,0,1.427354979,0,0,0,0,0,0,0,0,0,0,0,0,0,1.502584405,0,1.343318542,0,0,0,0,1.382100231,4.357351469,"SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Nitkin_32753701_24hr_unranked, METHYLATION: Chen28689251"
NRCAM,0,1.472666833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.502584405,0,0,0,0,0,0,1.377204585,4.352455824,"SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Nitkin_32753701_24hr_unranked, METHYLATION: Chen28689251"
APLNR,0,0,0,0,0,0,0,1.572615881,0,0,0,0,0,1.436523044,1.424274907,1.466545447,0,0,0,0,0,0,0,0,0,0,0,0,0,1.343519154,0,1.310995488,1.310153955,1.309817961,0,4.350156817,"SCRNASEQ: Hurskainen_33692365_endothelial, MICROARRAY: Natarajan_28851267_down, RNASEQ: Bhattacharya_25150062"
FGD4,0,1.472666833,0,0,1.451416772,0,0,0,0,0,0,0,0,0,1.424274659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.348358264,"METHYLATION: Chen28689251, MICROARRAY: Chao27770432, RNASEQ: Al_mudares_37368978_male"
ANGPTL2,0,1.472666833,0,0,0,0,0,0,0,0,0,0,0,0,0,1.464683538,0,0,0,0,0,0,0,0,0,0,0,1.502584405,0,1.412657339,0,1.313051466,1.312250358,1.312252354,1.372327696,4.347578935,"SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Nitkin_32753701_24hr_unranked, METHYLATION: Chen28689251"
CPM,0,1.472666833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.489509399,0,0,0,0,0,0,0,0,1.381462484,4.343638716,"SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Dong_36157523, METHYLATION: Chen28689251"
STAT3,0,1.472666833,0,0,0,0,0,0,0,0,0,0,0,0,1.424286817,0,0,0,0,0,0,0,0,0,0,0,0,1.502584405,0,0,0,0,0,0,1.364731005,4.339982243,"SCRNASEQ: Scaffa_34417156_ranked, RNASEQ: Nitkin_32753701_24hr_unranked, METHYLATION: Chen28689251"
ANKRD44,0,0,0,0,0,0,0,0,0,1.546470312,0,0,0,0,0,1.464683908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.322455666,1.322069322,1.323815722,0,4.334969943,"MICROARRAY: Revhaug_31454811_down_ranked, SCRNASEQ: Hurskainen_33692365_stroma, RNASEQ: Bhattacharya_25150062"
CD84,0,0,0,0,0,0,1.662221469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.343257216,0,1.316973056,1.316296902,1.317021552,0,4.322500237,"SCRNASEQ: Hurskainen_33692365_stroma, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Rao_37310763_ranked"
RASGRP1,0,0,0,0,0,0,0,0,0,1.546470463,0,0,0,0,0,1.464684118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.309643872,1.308769355,1.30810282,0,4.320798452,"MICROARRAY: Revhaug_31454811_down_ranked, SCRNASEQ: Hurskainen_33692365_endothelial, RNASEQ: Bhattacharya_25150062"
C15orf48,0,0,0,0,0,0,1.662222349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34944881,0,1.308787214,1.307862539,1.30704054,0,4.320458373,"SCRNASEQ: Hurskainen_33692365_endothelial, MICROARRAY: Denervaud_26353077_up_ranked, RNASEQ: Rao_37310763_ranked"
