Rat Gene,Human Ortholog Gene Symbol
Cox6b1,ENSG00000126267
Rfx3,ENSG00000080298
Agpat4,ENSG00000026652
Sox6,ENSG00000110693
Apba1,ENSG00000107282
Akap13,ENSG00000170776
Ern2,ENSG00000134398
Spsb3,ENSG00000162032
Tead1,ENSG00000187079
Plce1,ENSG00000138193
Mapk9,ENSG00000050748
Tshz3,ENSG00000121297
Anxa6,ENSG00000197043
Stat3,ENSG00000168610
Rph3al,ENSG00000181031
Atp1b2,ENSG00000129244
Sectm1b,ENSG00000141574
Sox8,ENSG00000005513
Zfp444,ENSG00000167685
Kcnj6,ENSG00000157542
Plcxd2,ENSG00000240891
Uchl5,ENSG00000116750
Phospho1,ENSG00000173868
Lpp,ENSG00000145012
Fkbp6,ENSG00000077800
B3galt5,ENSG00000183778
Ambn,ENSG00000178522
Rab5c,ENSG00000108774
Arvcf,ENSG00000099889
Fam222a,ENSG00000139438
Rimbp2,ENSG00000060709
LOC498368,ENSG00000154274
Rasal2,ENSG00000075391
Ptpn14,ENSG00000152104
LOC360933,ENSG00000087302
Fignl1,ENSG00000132436
Pus10,ENSG00000162927
Kcnip4,ENSG00000185774
Klf12,ENSG00000118922
Atxn1,ENSG00000124788
Thrb,ENSG00000151090
Fcho1,ENSG00000130475
Abhd13,ENSG00000139826
Celf4,ENSG00000101489
Btd,ENSG00000169814
Phf2,ENSG00000197724
Akr1e2,ENSG00000165568
Thnsl1,ENSG00000185875
Lox,ENSG00000113083
Nsd1,ENSG00000165671
Grxcr2,ENSG00000204928
Fam3d,ENSG00000198643
Slc14a2,ENSG00000132874
Chrm3,ENSG00000133019
Fdft1,ENSG00000079459
Fam13b,ENSG00000031003
Enc1,ENSG00000171617
Osgin1,ENSG00000140961
Large,ENSG00000133424
Hapln1,ENSG00000145681
Lhfpl2,ENSG00000145685
Inpp4b,ENSG00000109452
Mmaa,ENSG00000151611
Sh3rf2,ENSG00000156463
Gtf2h2,ENSG00000145736
Ocln,ENSG00000152939
Pcbp3,ENSG00000183570
Lysmd1,ENSG00000163155
Tifa,ENSG00000145365
Vangl1,ENSG00000173218
Lingo4,ENSG00000213171
Gopc,ENSG00000047932
Fam26f,ENSG00000188820
Adarb1,ENSG00000197381
Zbtb7c,ENSG00000184828
Nek6,ENSG00000119408
Baz2b,ENSG00000123636
Lypd6b,ENSG00000150556
Psmd14,ENSG00000115233
Gtdc1,ENSG00000121964
Lrrc4c,ENSG00000148948
Atf2,ENSG00000115966
Osbpl6,ENSG00000079156
Armc1,ENSG00000104442
Cd59,ENSG00000085063
RGD1309730,ENSG00000166352
RGD1563222,ENSG00000205177
Sestd1,ENSG00000187231
Lrp2,ENSG00000081479
Qser1,ENSG00000060749
Prdm11,ENSG00000019485
Sema3d,ENSG00000153993
Sqrdl,ENSG00000137767
Hspa12b,ENSG00000132622
Kif3b,ENSG00000101350
Anapc1,ENSG00000153107
Ptprt,ENSG00000196090
Chd6,ENSG00000124177
Fam19a4,ENSG00000163377
Thnsl2,ENSG00000144115
P2rx3,ENSG00000109991
Lrp6,ENSG00000070018
Tspan18,ENSG00000157570
Triqk,ENSG00000205133
Sulf1,ENSG00000137573
Mob3b,ENSG00000120162
Ankrd6,ENSG00000135299
Fbxl4,ENSG00000112234
Ppcs,ENSG00000127125
Klhl29,ENSG00000119771
Foxp2,ENSG00000128573
Zbtb40,ENSG00000184677
Csf3r,ENSG00000119535
Fam228a,ENSG00000186453
Myt1l,ENSG00000186487
Lrrn3,ENSG00000173114
Ppfibp1,ENSG00000110841
Hadhb,ENSG00000138029
Lactb2,ENSG00000147592
Syt1,ENSG00000067715
Dhrs7l1,ENSG00000100612
Akap6,ENSG00000151320
Rngtt,ENSG00000111880
Alpl,ENSG00000162551
RGD1311756,ENSG00000133943
Foxn3,ENSG00000053254
Pknox2,ENSG00000165495
Xpnpep3,ENSG00000196236
Abcd2,ENSG00000173208
Panx3,ENSG00000154143
Cers5,ENSG00000139624
Vsx2,ENSG00000119614
Nrg4,ENSG00000169752
Bcl9l,ENSG00000186174
Flrt2,ENSG00000185070
Rab27a,ENSG00000069974
Tmem45b,ENSG00000151715
Cep83,ENSG00000173588
Adgrf5,ENSG00000069122
Gnmt,ENSG00000124713
Slc22a13,ENSG00000172940
