gene	Chen28689251	Nichols_24571919	x_hurskainen_33692365_endothelial	x_hurskainen_33692365_epithelial	x_hurskainen_33692365_stroma	x_lingappan_25003466_both_ranked	x_scaffa_34417156_ranked	Al_mudares_37368978_female	Al_mudares_37368978_male	Bao_27137150	Bhaskaran_22911455	Bhattacharya_25150062	Chao27770432	Cheng_31961470	Coarfa_28818871	Denervaud_26353077	Dong_36157523	Natarajan_28851267_down	Natarajan_28851267_up	x_dravet_gounot_29287116_p10	x_dravet_gounot_29287116_p10_ranked	x_lingappan_25003466_female	x_lingappan_25003466_male	x_nitkin_32753701_24hr_unranked	x_nitkin_32753701_6hr_unranked	x_rao_37310763_ranked	x_revhaug_31454811_down_ranked	x_revhaug_31454811_up_ranked	x_shrestha_33446917_down_	x_shrestha_33446917_up	x_xing_26398774_down	x_xing_26398774_up	maic_score	contributors
CPM	1.4070591668826065	0.0	0.0	0.0	0.0	0.0	1.3046937247370538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3886196245783244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.100372516197985	SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: Dong_36157523, GENOMICS: Chen28689251
BHLHE40	1.4070591668826065	0.0	0.0	0.0	0.0	0.0	1.3030599871369555	0.0	1.3346947747992592	0.0	0.0	1.3695371666022829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.079656320621845	SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: Bhattacharya_25150062, GENOMICS: Chen28689251
ANGPTL2	1.4070591668826065	0.0	1.2245119367000998	1.223253470986284	1.220258860055599	0.0	1.3018585443657493	0.0	0.0	0.0	0.0	1.3695350466022829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3587659074127614	0.0	1.2448972554347018	0.0	0.0	0.0	0.0	0.0	0.0	4.078452757850639	SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: Bhattacharya_25150062, GENOMICS: Chen28689251
GUCY1A1	1.4070591668826065	0.0	0.0	0.0	0.0	0.0	1.3015497623451122	1.3354799447154186	0.0	0.0	0.0	1.3695370666022828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.078145995830002	SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: Bhattacharya_25150062, GENOMICS: Chen28689251
ADGRG2	1.4070591668826065	0.0	0.0	0.0	0.0	0.0	1.300348319573906	0.0	0.0	0.0	0.0	1.3695350366022827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.076942523058795	SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: Bhattacharya_25150062, GENOMICS: Chen28689251
SYK	1.4070591668826065	0.0	0.0	0.0	0.0	0.0	1.3055414717391665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3587659074127614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.071366546034534	SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: x_nitkin_32753701_24hr_unranked, GENOMICS: Chen28689251
RAC2	1.4070591668826065	0.0	0.0	0.0	0.0	0.0	1.305451644242254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3587659074127614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0712767185376215	SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: x_nitkin_32753701_24hr_unranked, GENOMICS: Chen28689251
PLA2G7	1.4070591668826065	0.0	0.0	0.0	0.0	0.0	1.304884608167993	1.3354787647154187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3587659074127614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.070709682463361	SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: x_nitkin_32753701_24hr_unranked, GENOMICS: Chen28689251
NRCAM	1.4070591668826065	0.0	0.0	0.0	0.0	0.0	1.3033687691575926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3587659074127614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.06919384345296	SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: x_nitkin_32753701_24hr_unranked, GENOMICS: Chen28689251
LARS2	1.4070591668826065	0.0	0.0	0.0	0.0	0.0	1.3079780425929213	0.0	1.3535916976123021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.06862890708783	SCRNASEQ: x_scaffa_34417156_ranked, GENOMICS: Chen28689251, TRANSCRIPTOMICS: Al_mudares_37368978_male
STAT3	1.4070591668826065	0.0	0.0	0.0	0.0	0.0	1.2995511005388065	0.0	1.3482023225139974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3587659074127614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.065376174834174	SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: x_nitkin_32753701_24hr_unranked, GENOMICS: Chen28689251
ZBTB20	1.4070591668826065	0.0	0.0	0.0	0.0	0.0	1.3039189625761824	0.0	1.3442455661127104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.055223695571499	SCRNASEQ: x_scaffa_34417156_ranked, GENOMICS: Chen28689251, TRANSCRIPTOMICS: Al_mudares_37368978_male
CTDSPL	1.4070591668826065	0.0	0.0	0.0	0.0	0.0	1.2980577184026343	0.0	1.3457464047476815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.050863290032923	SCRNASEQ: x_scaffa_34417156_ranked, GENOMICS: Chen28689251, TRANSCRIPTOMICS: Al_mudares_37368978_male
MAP4K4	1.4070591668826065	0.0	1.225077442886677	1.226393252003988	1.2217731739083437	0.0	1.3002360352027653	1.3354782047154188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.042773406800791	SCRNASEQ: x_scaffa_34417156_ranked, TRANSCRIPTOMICS: Al_mudares_37368978_female, GENOMICS: Chen28689251
SULF1	1.4070591668826065	0.0	1.2251292241760503	1.2266755622596848	1.2219081017258564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3886196245783244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0223543537206154	SCRNASEQ: x_hurskainen_33692365_epithelial, TRANSCRIPTOMICS: Dong_36157523, GENOMICS: Chen28689251
CASP8	1.4070591668826065	0.0	1.225031112259343	1.226135490466178	1.2216482820441998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3587659074127614	0.0	1.2448875054347017	0.0	0.0	0.0	0.0	0.0	0.0	3.9919605647615457	SCRNASEQ: x_hurskainen_33692365_epithelial, TRANSCRIPTOMICS: x_nitkin_32753701_24hr_unranked, GENOMICS: Chen28689251
CXCR2	1.4070591668826065	0.0	1.2249988625089439	1.2259464653384509	1.2215512678283025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3587659074127614	0.0	1.2448994454347018	0.0	0.0	0.0	0.0	0.0	0.0	3.9917715396338185	SCRNASEQ: x_hurskainen_33692365_epithelial, TRANSCRIPTOMICS: x_nitkin_32753701_24hr_unranked, GENOMICS: Chen28689251
CD82	1.4070591668826065	0.0	1.224367039934222	1.222472821757488	1.2198841844631674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3587659074127614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9901921142295897	SCRNASEQ: x_hurskainen_33692365_endothelial, TRANSCRIPTOMICS: x_nitkin_32753701_24hr_unranked, GENOMICS: Chen28689251
RAPH1	1.4070591668826065	0.0	1.225022027822611	1.2260863930304047	1.221623749713743	0.0	0.0	0.0	1.344382005988617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.977527565901628	SCRNASEQ: x_hurskainen_33692365_epithelial, GENOMICS: Chen28689251, TRANSCRIPTOMICS: Al_mudares_37368978_male
GLRX2	1.4070591668826065	0.0	1.2248289835420525	1.2249694263665616	1.2210985348207808	0.0	0.0	1.3354780747154187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.967506667964587	SCRNASEQ: x_hurskainen_33692365_epithelial, TRANSCRIPTOMICS: Al_mudares_37368978_female, GENOMICS: Chen28689251
