gene	Nichols_24571919	Bao_27137150_lncrna	Bao_27137150_mrna	Bhattacharya_25150061	Chao_27770432	Coarfa_28818871_female_down_d21	Coarfa_28818871_female_down_d7	Coarfa_28818871_female_up_d21	Coarfa_28818871_female_up_d7	Coarfa_28818871_male_down_d21	Coarfa_28818871_male_down_d7	Coarfa_28818871_male_up_d21	Coarfa_28818871_male_up_d7	Natarajan_28851267_down	Natarajan_28851267_up	Rao_37310763	Revhaug_31454811_down	Revhaug_31454811_up	maic_score	contributors
ENSG00000170430	1.2585123343125129	0.0	0.0	1.0101255114508667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2686378457633793	TRANSCRIPTOMICS: Bhattacharya_25150061, GENOMICS: Nichols_24571919
ENSG00000134716	1.2585123343125129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2585123343125129	GENOMICS: Nichols_24571919
ENSG00000181072	1.2585123343125129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2585123343125129	GENOMICS: Nichols_24571919
ENSG00000172667	0.0	0.0	0.0	1.0108040693956504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0108040693956504	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000174944	0.0	0.0	0.0	1.0107871054470308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0002715258306585	0.0	0.0	1.0107871054470308	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000120875	0.0	0.0	0.0	1.0107701414984112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0107701414984112	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000162976	0.0	0.0	0.0	1.0107531775497915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0107531775497915	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000101955	0.0	0.0	0.0	1.010736213601172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0002729494039457	0.0	0.0	1.010736213601172	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000134817	0.0	0.0	0.0	1.0107192496525526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0011549474046653	0.0	1.0002508128393306	0.0	0.0	1.0107192496525526	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000174837	0.0	0.0	0.0	1.010702285703933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.010702285703933	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000157404	0.0	0.0	0.0	1.0106853217553133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0106853217553133	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000064989	0.0	0.0	0.0	1.0106683578066937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0106683578066937	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000155897	0.0	0.0	0.0	1.0106513938580741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0106513938580741	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000061918	0.0	0.0	0.0	1.0106344299094545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0106344299094545	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000169169	0.0	0.0	0.0	1.010617465960835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.010617465960835	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000087088	0.0	0.0	0.0	1.0106005020122153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0106005020122153	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000135048	0.0	0.0	0.0	1.0105835380635957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0105835380635957	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000113532	0.0	0.0	0.0	1.010566574114976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.010566574114976	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000250479	0.0	0.0	0.0	1.0105496101663565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0105496101663565	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000163297	0.0	0.0	0.0	1.0105326462177369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0105326462177369	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000139278	0.0	0.0	0.0	1.0105156822691175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0105156822691175	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000099260	0.0	0.0	0.0	1.0104987183204979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0002881816381182	0.0	0.0	1.0104987183204979	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000001036	0.0	0.0	0.0	1.0104817543718783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0104817543718783	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000163823	0.0	0.0	0.0	1.0104647904232587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0003273299035145	0.0	0.0	1.0104647904232587	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000070669	0.0	0.0	0.0	1.010447826474639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.010447826474639	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000123080	0.0	0.0	0.0	1.0104308625260194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0104308625260194	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000163898	0.0	0.0	0.0	1.0104138985773998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0104138985773998	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000109072	0.0	0.0	0.0	1.0103969346287802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0003359425219016	0.0	0.0	1.0103969346287802	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000073792	0.0	0.0	0.0	1.0103799706801606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0002655468228525	0.0	0.0	1.0103799706801606	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000198931	0.0	0.0	0.0	1.010363006731541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.010363006731541	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000121858	0.0	0.0	0.0	1.0103460427829214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0003637022010008	0.0	0.0	1.0103460427829214	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000144959	0.0	0.0	0.0	1.0103290788343018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0103290788343018	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000131097	0.0	0.0	0.0	1.0103121148856824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0103121148856824	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000196878	0.0	0.0	0.0	1.0102951509370628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0102951509370628	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000117479	0.0	0.0	0.0	1.0102781869884432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0102781869884432	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000064655	0.0	0.0	0.0	1.0102612230398236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0102612230398236	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000178726	0.0	0.0	0.0	1.010244259091204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0003093928800963	0.0	0.0	1.010244259091204	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000134107	0.0	0.0	0.0	1.0102272951425844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0102272951425844	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000158258	0.0	0.0	0.0	1.0102103311939648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0102103311939648	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000143162	0.0	0.0	0.0	1.0101933672453451	1.0001313221236863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0101933672453451	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000113594	0.0	0.0	0.0	1.0101764032967255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0101764032967255	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000147655	0.0	0.0	0.0	1.010159439348106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0003649834169592	0.0	0.0	1.010159439348106	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000163637	0.0	0.0	0.0	1.0101424753994863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0101424753994863	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000142627	0.0	0.0	0.0	1.0101085475022473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0101085475022473	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000106992	0.0	0.0	0.0	1.0100915835536277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0100915835536277	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000164120	0.0	0.0	0.0	1.010074619605008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.010074619605008	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000143819	0.0	0.0	0.0	1.0100576556563885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0003101758454043	0.0	0.0	1.0100576556563885	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000185215	0.0	0.0	0.0	1.010040691707769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.010040691707769	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000185022	0.0	0.0	0.0	1.0100237277591493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0100237277591493	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000164733	0.0	0.0	0.0	1.0100067638105297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0100067638105297	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000108370	0.0	0.0	0.0	1.00998979986191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00998979986191	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000164116	0.0	0.0	0.0	1.0099728359132905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0099728359132905	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000173369	0.0	0.0	0.0	1.0099558719646708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0099558719646708	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000112414	0.0	0.0	0.0	1.0099389080160512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0099389080160512	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000117122	0.0	0.0	0.0	1.0099219440674319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0099219440674319	TRANSCRIPTOMICS: Bhattacharya_25150061
ENSG00000142319	0.0	0.0	0.0	1.0099049801188122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0099049801188122	TRANSCRIPTOMICS: Bhattacharya_25150061
