Mouse Gene,Human Ortholog Gene Symbol,Type,Identity (%),Positivity (%)
Mt1,ENSG00000205362,ortholog_one2one,81.9672,93.4426
Txnrd1,ENSG00000198431,ortholog_one2one,72.265,77.1957
Ncf2,ENSG00000116701,ortholog_one2one,84.6008,91.4449
Gch1,ENSG00000131979,ortholog_one2one,86,90.4
Ddit4,ENSG00000168209,ortholog_one2one,90.5172,93.1034
Hmox1,ENSG00000100292,ortholog_one2one,81.9444,90.9722
Tnfaip3,ENSG00000118503,ortholog_one2one,87.9747,92.5316
Bmal1,ENSG00000133794,ortholog_one2one,98.4026,98.8818
Stat3,ENSG00000168610,ortholog_one2one,99.8701,100
Gclc,ENSG00000001084,ortholog_one2one,94.1915,97.0173
Dusp1,ENSG00000120129,ortholog_one2one,96.4578,98.0926
Cdkn1a,ENSG00000124762,ortholog_one2one,73.7805,78.0488
Socs1,ENSG00000185338,ortholog_one2one,94.7867,96.2085
Hif1a,ENSG00000100644,ortholog_one2one,90.3148,93.3414
Steap3,ENSG00000115107,ortholog_one2one,85.5422,91.7671
Alox12,ENSG00000108839,ortholog_one2one,85.5204,91.2519
Fth1,ENSG00000167996,ortholog_one2one,91.8033,95.6284
Egfr,ENSG00000146648,ortholog_one2one,90.4959,95.0413
Ubc,ENSG00000150991,ortholog_one2one,99.854,100
Bach1,ENSG00000156273,ortholog_one2one,80.5707,87.2283
Cd44,ENSG00000026508,ortholog_one2one,70.2156,78.1671
Slc2a6,ENSG00000160326,ortholog_one2one,81.0651,87.7712
Zfp36,ENSG00000110315,ortholog_one2one,99.1304,99.5652
Txnip,ENSG00000265972,ortholog_one2one,96.4194,98.977
Hspb1,ENSG00000106211,ortholog_one2one,84.3902,91.7073
Slc2a1,ENSG00000117394,ortholog_one2one,97.1545,98.5772
